Part_Label,AugName:gaussian_noise,Model:DTmodel,FS_Method:biMaxInfgain,FS_Method:biMeanInfgain,FeatureNum:4.0,FeatureNum:5.0,FeatureNum:6.0,Model:GradientBoosting,Model:XGBmodel,Norm_Order:first,Scaler:standard,FS_Method:infgain,FS_Method:noSelect,FeatureNum:7.0,FeatureNum:8.0,Norm_Order:last,Scaler:minmax,Split_Ratio:0.2,ImblName:RandomUnderSampler,ImblName:SMOTE,Model:random_forest,ImblName:ADASYN,Prob_Threshold:0.35,Random_State:2026.0,AugName:mixup,AugName:noAug,Model:sklearn_SVM,ImblName:TomekLinks,ImblName:noImbl,Prob_Threshold:0.5,Model:LogisticRegression,Random_State:42.0,Random_State:7.0,Split_Ratio:0.1
Scaler:standard,0.9721851735698911,0.7234065364957111,0.9994063474291974,0.9994132591126562,0.9987262219857725,0.9991228576375131,0.9997878026439246,0.995837568403653,0.9973397069622643,0.9975666315154874,,0.9984357513071414,0.9995430808036503,0.9997298611518229,0.9995430808036503,0.9988898409628375,,0.9985506934525135,0.9757223968836894,0.9856802722948405,0.9895491697868408,0.9714093428481477,0.9739131909368287,0.9966670994176366,0.9304600004289716,0.9625348031493621,0.9968565296733344,0.8250847098172104,0.7393012752621523,0.861650202805698,0.9908135222824542,0.9991005803161701,0.9993539173600535,0.998973785906012
FS_Method:infgain,0.9591208761505715,0.7596497501874545,,,0.9998652998844157,0.9972718055196723,0.9991566871324563,0.9903288320698193,0.9931894505123965,0.9997974471195561,0.9984357513071414,,,0.9980550389902746,0.9987627046883881,0.9954853186527792,0.9985199255911276,0.9999377165596386,0.9656468792172683,0.9779160547486485,0.9807916992500024,0.9583684346647442,0.9616244113462354,0.9994366067128504,0.9476360530340632,0.9724217278711335,0.9991360449886418,0.8519748539475626,0.7692921066379611,0.886319200326699,0.9829531005057688,0.9972752775598063,0.9962987661083823,0.9961764092194899
FS_Method:noSelect,0.9668214632294975,0.7293411855702776,,,0.9993288239034138,0.9997064047572165,0.9998845216060334,0.9959325748485688,0.9976977349615381,0.9983903452808188,0.9995430808036503,,,0.9998618442315181,1.0,0.9988441503256681,0.9996955604233272,0.9990022984671463,0.9771858740846302,0.98702101399214,0.9889926823405788,0.9710087550462444,0.9737241574973402,0.9978352748064799,0.9374723083653752,0.9692819676814456,0.9963302260729566,0.825624380786992,0.737035683571259,0.8631459297524372,0.989910917129936,0.999678928978569,0.9987399967404502,0.9992471667318286
FeatureNum:7.0,0.9707826797898511,0.7188998186261177,0.9999211391660779,0.9999270500743686,,,,0.9970370550699692,0.9983898588890634,0.9974205775807132,0.9997298611518229,0.9980550389902746,0.9998618442315181,,,0.9994564016891195,0.9992531967622893,0.9983000988286883,0.9793473731951137,0.988564478483333,0.9910289476248262,0.9741816059330951,0.9766871426543559,0.9966682683880872,0.9316585139959168,0.9654156854389713,0.9955785706085604,0.8183058950421827,0.7293715538827648,0.8562576827500534,0.9918924271939733,0.9997661707470727,0.9993782164832001,0.9996601098095981
FeatureNum:8.0,0.9668214632294975,0.7293411855702776,0.9998251221175506,0.9997204797862814,,,,0.9959325748485688,0.9976977349615381,0.9983903452808188,0.9995430808036503,0.9987627046883881,1.0,,,0.9988441503256681,0.9996955604233272,0.9990022984671463,0.9771858740846302,0.98702101399214,0.9889926823405788,0.9710087550462444,0.9737241574973402,0.9978352748064799,0.9374723083653752,0.9692819676814456,0.9963302260729566,0.825624380786992,0.737035683571259,0.8631459297524372,0.989910917129936,0.999678928978569,0.9987399967404502,0.9992471667318286
Norm_Order:last,0.9761206671339888,0.6957159007635334,0.9994752328792226,0.999684357515666,0.9964693014106983,0.9995394318975123,0.9985020770751812,0.9989458951844062,0.999430016778822,,0.9988898409628375,0.9954853186527792,0.9988441503256681,0.9994564016891195,0.9988441503256681,,0.9979827106504517,0.9958360588361957,0.9849559158929813,0.9924977803706541,0.9948644172295413,0.9810560870854836,0.9831711291361278,0.993529195029924,0.9208724641826422,0.9593879280100704,0.9922763490304771,0.7991385494289224,0.7073961607384687,0.8388378270204991,0.9953297286260862,0.9994119829175099,0.9995793413520728,0.9999201923285361
Scaler:minmax,0.9612828456575757,0.735855272165562,0.9994340786960807,0.9992188302318973,0.9992671159581598,0.9994271958172468,0.9993225461944824,0.9950442358845835,0.997109388944061,0.9985733122105647,,0.9985199255911276,0.9996955604233272,0.9992531967622893,0.9996955604233272,0.9979827106504517,,0.9988459137794856,0.976999955281551,0.9869046032360578,0.9873937253699303,0.969221104591933,0.9721427074831182,0.9983150384743689,0.9434145782311707,0.9744967001217801,0.9955085340789767,0.8274294797866848,0.7369908851035758,0.8654942586302131,0.9880741316833019,0.9994066655868977,0.9974644507931223,0.9986681516000255
Split_Ratio:0.2,0.9587190705504942,0.7579913254023108,0.9980526301608712,0.9976976285271036,0.999938977856792,0.9976619314734,0.9993095119456332,0.9910171404698467,0.9939054721683624,0.9998654572680997,0.9985506934525135,0.9999377165596386,0.9990022984671463,0.9983000988286883,0.9990022984671463,0.9958360588361957,0.9988459137794856,,0.9668409577410322,0.9789972735203384,0.9816177632303535,0.9594433737308246,0.9626310411197128,0.999571146905043,0.9482993809579529,0.9735541662536885,0.9987487279058259,0.8499943439070254,0.7662304552234879,0.8847651340606433,0.9831614147343105,0.9977387462724792,0.9963537766317796,
ImblName:RandomUnderSampler,0.9719752379248754,0.5808339236021752,0.9806114851195191,0.9815648430901388,0.9691482814556737,0.981953435333123,0.9746979760534982,0.9912277862183794,0.9879535470907472,0.9644123849260321,0.9757223968836894,0.9656468792172683,0.9771858740846302,0.9793473731951137,0.9771858740846302,0.9849559158929813,0.976999955281551,0.9668409577410322,,,0.9953186628112676,,0.9983436221316306,0.963018831424191,0.868002804155047,0.9294214893142813,0.9565377091520111,,,0.7391059736829758,0.9929271826634666,0.9814292999944236,0.9813242431659174,0.984277325142923
ImblName:SMOTE,0.9733652670658189,0.6216015111174783,0.9896170574011501,0.9902452056193861,0.9807830896298121,0.9905920995830333,0.9850727208238311,0.9966649527892169,0.9947930845202434,0.9770661055140071,0.9856802722948405,0.9779160547486485,0.98702101399214,0.988564478483333,0.98702101399214,0.9924977803706541,0.9869046032360578,0.9789972735203384,,,0.9979039252090656,,0.9961378744846474,0.9759762142204598,0.8907675902006019,0.9448215681335529,0.9702238397031249,,,0.7738010010565383,0.9956965066903218,0.9902865204844092,0.9894765009002535,0.9921309444429679
