Part_Label,Model:sklearn_SVM,Split_Ratio:0.1,Model:GradientBoosting,FS_Method:noSelect,FeatureNum:8.0,Split_Ratio:0.2,FS_Method:biMaxInfgain,FeatureNum:5.0,FeatureNum:6.0,Model:XGBmodel,Model:random_forest,Scaler:standard,Model:LogisticRegression,FS_Method:infgain,FeatureNum:4.0,Prob_Threshold:0.35,Scaler:minmax,AugName:noAug,FeatureNum:7.0,ImblName:noImbl,Norm_Order:first,Norm_Order:last,Prob_Threshold:0.5,Model:DTmodel
Model:random_forest,,0.9233906025754383,,0.9786159840107403,0.9786159840107403,0.98947817830424,0.9763822396149165,0.9626863202656964,0.9597815497774892,,,0.9729498070054439,,0.948032239102577,0.9511922510809536,0.994173483844959,0.9552072820173982,0.9649503622741853,0.9762804507764913,0.9649503622741853,0.964939983596187,0.9649607197554333,0.871140596018465,
Scaler:standard,0.9320660170639281,0.9838983411473808,0.9981869721675577,0.998045827995362,0.998045827995362,0.995532608502957,0.9997320870403841,0.9988436662146761,0.998249688332937,0.9954989685086792,0.9729498070054439,,0.9804600036466073,0.994581505988491,0.9947588253562354,0.9584084963995603,,0.9987481963243949,0.9995855238474461,0.9987481963243949,0.9987429810727692,0.998753392402898,0.9559198098044104,0.9960977587230917
Model:LogisticRegression,,0.9981748395874367,,0.9826351819863813,0.9826351819863813,0.9616501937641809,0.980716967609729,0.9880963277559821,0.9897229415635201,,,0.9804600036466073,,0.994691195301407,0.9952628622623391,0.8919141371358438,0.9948612144393022,0.989042364312058,0.9816737152685373,0.989042364312058,0.9890565002495959,0.9890282190469887,0.9905908368056785,
FS_Method:infgain,0.964578925416306,0.9971328786107154,0.98686639073615,,0.9929367730175709,0.9810843700761476,,0.9983310022687168,0.9989841530838022,0.9802562456898946,0.948032239102577,0.994581505988491,0.994691195301407,,0.9998302067529101,0.9245046775011359,0.9994067864889098,0.9982432949650603,0.9941635340021359,0.9982432949650603,0.9982463664475157,0.998240208465092,0.9811294702227826,0.9879064866317842
FeatureNum:4.0,0.9640049323794004,0.9967192632512721,0.9868960383412486,0.9941396213677973,,0.9820858194135039,0.9944533920140634,,,0.9807030263633185,0.9511922510809536,0.9947588253562354,0.9952628622623391,0.9998302067529101,,0.9268326437368034,0.9998044139603777,0.9985344119548692,,0.9985344119548692,0.9985382580456192,0.9985305512294448,0.9798331251793618,0.9866539098780125
Prob_Threshold:0.35,0.7954058647536694,0.8935193444344364,0.971256192532167,0.9602152863781139,0.9602152863781139,0.9806810445168193,0.9608960865870112,0.944237711807603,0.9402457653622169,0.9800685080287405,0.994173483844959,0.9584084963995603,0.8919141371358438,0.9245046775011359,0.9268326437368034,,0.9309006100365603,0.9453569800440654,0.9600850114014519,0.9453569800440654,0.9453358538919078,0.94537807994565,,0.9562124519927289
Scaler:minmax,0.9615772869311096,0.9955179721045726,0.9878243424154806,0.9956052097125492,0.9956052097125492,0.9840153192115684,0.9953764983724969,0.9984629475785384,0.9988762995614262,0.9820467323659021,0.9552072820173982,,0.9948612144393022,0.9994067864889098,0.9998044139603777,0.9309006100365603,,0.9988896964608801,0.9957897909593681,0.9988896964608801,0.998894592197094,0.9988847866094127,0.9773078161622493,0.986414486911495
AugName:noAug,0.9483818299631894,0.9910506095596928,0.9940223047104879,0.9979654920526085,0.9979654920526085,0.9907694788386714,0.9986664046994124,0.9998263325755788,0.9997510213132954,0.9897381627691569,0.9649503622741853,0.9987481963243949,0.989042364312058,0.9982432949650603,0.9985344119548692,0.9453569800440654,0.9988896964608801,,0.99880832372301,1.0,0.9999999917018617,0.9999999917101643,0.9680755165899577,0.9922808944644631
FeatureNum:7.0,0.9324048192344718,0.9834034962619521,0.9973716089168041,0.9994284356188733,,0.9961552163145656,0.9999735746109644,,,0.9950166061178042,0.9762804507764913,0.9995855238474461,0.9816737152685373,0.9941635340021359,,0.9600850114014519,0.9957897909593681,0.99880832372301,,0.9988083237230091,0.9988056155243464,0.9988110140022495,0.9547328059468213,0.9934175883485857
ImblName:noImbl,0.9483818299631894,0.9910506095596928,0.9940223047104879,0.9979654920526085,0.9979654920526085,0.9907694788386714,0.9986664046994124,0.9998263325755788,0.9997510213132954,0.9897381627691569,0.9649503622741853,0.9987481963243949,0.989042364312058,0.9982432949650603,0.9985344119548692,0.9453569800440654,0.9988896964608801,1.0,0.9988083237230091,,0.9999999917018617,0.9999999917101643,0.9680755165899577,0.9922808944644631
Norm_Order:first,0.9484076766542379,0.9910590913893293,0.9940120672661396,0.9979658909893188,0.9979658909893188,0.9907608488527886,0.9986628883021533,0.9998253943280897,0.999750306414234,0.9897252316408627,0.964939983596187,0.9987429810727692,0.9890565002495959,0.9982463664475157,0.9985382580456192,0.9453358538919078,0.998894592197094,0.9999999917018617,0.9988056155243464,0.9999999917018617,,,0.9680917444028467,0.9922681966946382
Norm_Order:last,0.9483559804797622,0.9910421155395264,0.9940325205466453,0.9979650767654723,0.9979650767654723,0.9907780880747874,0.9986699027751256,0.9998272537725647,0.9997517192748812,0.9897510710122072,0.9649607197554333,0.998753392402898,0.9890282190469887,0.998240208465092,0.9985305512294448,0.94537807994565,0.9988847866094127,0.9999999917101643,0.9988110140022495,0.9999999917101643,,,0.968059280844165,0.9922935694236674
Prob_Threshold:0.5,0.9958724920789707,0.9927604612183875,0.9380326732840273,0.9532041598244657,0.9532041598244657,0.9252736891597518,0.9538687135331968,0.9686416711346414,0.971583054024993,0.9239966631410506,0.871140596018465,0.9559198098044104,0.9905908368056785,0.9811294702227826,0.9798331251793618,,0.9773078161622493,0.9680755165899577,0.9547328059468213,0.9680755165899577,0.9680917444028467,0.968059280844165,,0.9466469020048003
Model:DTmodel,,0.9752770595204296,,0.9891176063763732,0.9891176063763732,0.9913711751480448,0.9941634956900057,0.9939216485374619,0.9929471470160541,,,0.9960977587230917,,0.9879064866317842,0.9866539098780125,0.9562124519927289,0.986414486911495,0.9922808944644631,0.9934175883485857,0.9922808944644631,0.9922681966946382,0.9922935694236674,0.9466469020048003,
