Part_Label,Model:LogisticRegression,Model:sklearn_SVM,Split_Ratio:0.1,Split_Ratio:0.15,Split_Ratio:0.2,FeatureNum:5.0,Model:GradientBoosting,Model:XGBmodel,Split_Ratio:0.3,FS_Method:infgain,FS_Method:noSelect,FeatureNum:4.0,FeatureNum:8.0,FS_Method:biMaxInfgain,Model:random_forest,Scaler:standard,Scaler:minmax,Split_Ratio:0.25,AugName:noAug,FeatureNum:6.0,FeatureNum:7.0,ImblName:noImbl,Norm_Order:first,Norm_Order:last,Prob_Threshold:0.5,Model:DTmodel
Scaler:minmax,0.9903645713077566,0.9822419343659701,0.9990820221354976,0.9496106401903406,0.9588033753247426,0.992349137195721,0.981491175168249,0.9659880530652025,0.9997734421676678,0.9966304342247785,0.9920267159725573,0.9955326717751533,0.9920267159725573,0.9885145185383796,0.9574850611081314,,,0.9998635725993714,0.9932872954567993,0.994052081564173,0.9910498193253252,0.9932872954567993,0.9932997105732041,0.9932748639354156,0.9932872954567993,0.8877876561068166
Split_Ratio:0.25,0.9882415957303706,0.9795977301159369,,,,0.9937077875863264,0.9834787209765692,0.9688339911635636,,0.9973672430429029,0.993433509010428,0.996642444498709,0.993433509010428,0.9903382825713162,0.9608664653186526,0.9700859632169563,0.9998635725993714,,0.9945618527104196,0.9951724076200887,0.9925049883562375,0.9945618527104196,0.9945733964877838,0.9945502927271539,0.9945618527104196,0.8941870568254896
AugName:noAug,0.9681000561871803,0.9541139068963179,0.9939766983200948,0.979468386305255,0.9852092768229949,0.9999333428530559,0.9967744570307956,0.9891809907143901,0.9913242488681748,0.9993130953832859,0.9999411676888694,0.9997096305405561,0.9999411676888694,0.9992923598409573,0.9843804209579344,0.9900448133745196,0.9932872954567993,0.9945618527104196,,0.9999113222331976,0.9998241551265293,1.0,0.999999993295044,0.9999999932917163,1.0,0.9333845467666759
FeatureNum:6.0,0.9700539049736061,0.9562738842094036,0.9949703580748868,0.977846168933521,0.9838259922719303,,0.9964752547770402,0.9883937396177829,0.9920323351342053,0.9996115748797328,0.9997438798261631,,,0.9988105518276358,0.9831446171467856,0.9889192402095972,0.994052081564173,0.9951724076200887,0.9999113222331976,,,0.9999113222331959,0.9999120681711567,0.999910562696458,0.9999113222331959,0.9296569556458005
FeatureNum:7.0,0.9636071788945363,0.9486486201492473,0.9921635934649483,0.982857165817254,0.9880681237247393,,0.9980999025349503,0.9917440802957326,0.9887344560335358,0.998585730702529,0.9999341895999342,,,0.9996732985537929,0.9874092442473091,0.9923807668674104,0.9910498193253252,0.9925049883562375,0.9998241551265293,,,0.9998241551265264,0.9998222060851298,0.9998260912389263,0.9998241551265264,0.9386815310865004
ImblName:noImbl,0.9681000561871803,0.9541139068963179,0.9939766983200948,0.979468386305255,0.9852092768229949,0.9999333428530559,0.9967744570307956,0.9891809907143901,0.9913242488681748,0.9993130953832859,0.9999411676888694,0.9997096305405561,0.9999411676888694,0.9992923598409573,0.9843804209579344,0.9900448133745196,0.9932872954567993,0.9945618527104196,1.0,0.9999113222331959,0.9998241551265264,,0.999999993295044,0.9999999932917163,1.0,0.9333845467666759
Norm_Order:first,0.9681256237189613,0.9541449535605071,0.9939863356339664,0.9794472264177099,0.9851912820163709,0.9999323304507294,0.9967663381271066,0.9891656736717777,0.991338268623234,0.9993165735738339,0.9999400076168843,0.9997122424890537,0.9999400076168843,0.9992888591418471,0.9843618820242759,0.9900296918069696,0.9932997105732041,0.9945733964877838,0.999999993295044,0.9999120681711567,0.9998222060851298,0.999999993295044,,,0.9999999932950416,0.9333506127026384
Norm_Order:last,0.9680744693252583,0.9540828397302671,0.9939670452811542,0.9794895383029854,0.9852272628775506,0.9999343420925454,0.99678256457711,0.9891962982873146,0.9913102123363684,0.9993096029241285,0.999942314634549,0.9997070045330398,0.999942314634549,0.9992958480031626,0.9843989512856387,0.990059925412297,0.9932748639354156,0.9945502927271539,0.9999999932917163,0.999910562696458,0.9998260912389263,0.9999999932917163,,,0.9999999932917146,0.9334184767283116
Prob_Threshold:0.5,0.9681000561871803,0.9541139068963179,0.9939766983200948,0.979468386305255,0.9852092768229949,0.9999333428530559,0.9967744570307956,0.9891809907143901,0.9913242488681748,0.9993130953832859,0.9999411676888694,0.9997096305405561,0.9999411676888694,0.9992923598409573,0.9843804209579344,0.9900448133745196,0.9932872954567993,0.9945618527104196,1.0,0.9999113222331959,0.9998241551265264,1.0,0.9999999932950416,0.9999999932917146,,0.9333845467666759
Model:DTmodel,,,0.8886674483545298,0.983665701570614,0.9785244557480126,0.9363483884482174,,,0.8823743190985808,0.9194519833293545,0.9371030689025908,0.9268106822511848,0.9371030689025908,0.9462133255069212,,0.9719512775975998,0.8877876561068166,0.8941870568254896,0.9333845467666759,0.9296569556458005,0.9386815310865004,0.9333845467666759,0.9333506127026384,0.9334184767283116,0.9333845467666759,
