Part_Label,FS_Method:noSelect,FeatureNum:8.0,Scaler:minmax,FeatureNum:7.0,Split_Ratio:0.2,AugName:noAug,FS_Method:infgain,FeatureNum:6.0,ImblName:noImbl,Norm_Order:first,Norm_Order:last,Prob_Threshold:0.5,FS_Method:biMaxInfgain,FeatureNum:5.0,Model:GradientBoosting,Model:random_forest,FeatureNum:4.0,Scaler:standard,Split_Ratio:0.1,Model:XGBmodel,Model:sklearn_SVM,Model:LogisticRegression,Model:DTmodel
Norm_Order:last,0.9998338585707616,0.9998338585707616,0.999721911065378,0.9998817647326721,0.9999725568304016,0.99999995786635,0.9989350664061898,0.9999490833134411,0.99999995786635,,,0.9999999578663521,0.9986396701001693,0.9983368214218225,0.994972911254319,0.9942295108713362,0.9981677660745846,0.9996953378771121,0.9999691053472572,0.9990997903327592,0.9647217271962207,0.9841586551738148,0.9453729540836936
Prob_Threshold:0.5,0.9998299291374417,0.9998299291374417,0.9997180677939875,0.999882811333385,0.999972200956075,1.0,0.998931326197866,0.9999515907396058,1.0,0.999999957965138,0.9999999578663521,,0.9986448597633991,0.9983423522535361,0.99498677051765,0.9942396864526396,0.998161256672692,0.9996993919975697,0.9999695639360086,0.9991079472414565,0.9647008897268237,0.9841360736867332,0.9453915179438024
FS_Method:biMaxInfgain,,0.9980577858638641,0.9976401570402812,0.9991948333476579,0.9984033572511397,0.9986448597633991,,0.9985261867813192,0.9986448597633991,0.9986499593340858,0.9986396701001693,0.9986448597633991,,0.9999675543981631,0.998737041894948,0.9984619073554656,0.9936733294432217,0.9990913757730979,0.9988381140417054,0.9977323304324396,0.9498441835364324,0.9736401987605777,0.9602425555658224
FeatureNum:5.0,0.9976485451483974,,0.997167879107172,,0.9981176983956116,0.9983423522535361,0.9946565353979053,,0.9983423522535361,0.9983477926179647,0.9983368214218225,0.9983423522535361,0.9999675543981631,,0.9990151443122417,0.9986822841793741,,0.9989643496915599,0.9985179948655596,0.9975919868358577,0.9484087876648867,0.9725082997140208,0.9610368890505403
Model:GradientBoosting,0.9936995658118503,0.9936995658118503,0.9929823564434649,0.996001363712016,0.9946394217955893,0.99498677051765,0.9894933960226598,0.994977529551758,0.99498677051765,0.9950005298267562,0.994972911254319,0.99498677051765,0.998737041894948,0.9990151443122417,,,0.9873058449628402,0.9964677382630952,0.9952909952433376,,,,
Model:random_forest,0.9932984074104798,0.9932984074104798,0.9925825803352604,0.9955429881356511,0.9937375263824678,0.9942396864526396,0.9882288820946707,0.9940196260396484,0.9942396864526396,0.9942497664635023,0.9942295108713362,0.9942396864526396,0.9984619073554656,0.9986822841793741,,,0.9859323063942336,0.9953624712118442,0.9947059432660655,,,,
FeatureNum:4.0,0.9984248819782208,,0.9986299583272569,,0.9984202305552948,0.998161256672692,0.999880411866678,,0.998161256672692,0.9981546709418812,0.9981677660745846,0.998161256672692,0.9936733294432217,,0.9873058449628402,0.9859323063942336,,0.9970866432892631,0.9978308637898954,0.9974197609248121,0.9787966296224027,0.9930423397097629,0.9245035596044261
Scaler:standard,0.9990969128612417,0.9990969128612417,,0.9996118234024607,0.9997216307859419,0.9996993919975697,0.9980474894273778,0.9997581425930211,0.9996993919975697,0.9997033572687649,0.9996953378771121,0.9996993919975697,0.9990913757730979,0.9989643496915599,0.9964677382630952,0.9953624712118442,0.9970866432892631,,0.9996166164939945,0.9996065634996829,0.9614624950339967,0.9813213581109146,0.9475540103422759
Split_Ratio:0.1,0.9998425083739941,0.9998425083739941,0.9997383369400092,0.9999616305969293,,0.9999695639360086,0.998684247700637,0.9999015832292258,0.9999695639360086,0.9999699378703111,0.9999691053472572,0.9999695639360086,0.9988381140417054,0.9985179948655596,0.9952909952433376,0.9947059432660655,0.9978308637898954,0.9996166164939945,,0.9988805530661068,0.9633219417144923,0.9832799784652029,0.9472846452593874
Model:XGBmodel,0.9982400727017036,0.9982400727017036,0.998052523018652,0.9987087315012925,0.9992684315443858,0.9991079472414565,0.9982297036452968,0.999406353527778,0.9991079472414565,0.999116010538093,0.9990997903327592,0.9991079472414565,0.9977323304324396,0.9975919868358577,,,0.9974197609248121,0.9996065634996829,0.9988805530661068,,,,
