Part_Label,FS_Method:noSelect,FeatureNum:7.0,FeatureNum:8.0,Scaler:minmax,Split_Ratio:0.2,Model:random_forest,Prob_Threshold:0.35,AugName:noAug,FS_Method:biMaxInfgain,FS_Method:infgain,FeatureNum:4.0,FeatureNum:6.0,ImblName:noImbl,Norm_Order:first,Norm_Order:last,Prob_Threshold:0.5,FeatureNum:5.0,Model:GradientBoosting,Scaler:standard,Split_Ratio:0.1,Model:LogisticRegression,Model:sklearn_SVM,Model:XGBmodel,Model:DTmodel
FeatureNum:4.0,0.9918440853144715,,,0.9940011185362235,0.9987881652864021,0.9160255518558734,0.8809250834381429,0.9982132556512794,0.9951190757802616,0.9997182177381648,,,0.9982132556512798,0.9982042825903596,0.9982221997011155,0.9583644244993137,,0.9842330648826212,0.9965903615306316,0.9962381242460496,0.9772794833817207,0.9702007894347549,0.9956817395750036,0.9778961270222288
FeatureNum:6.0,0.9938391774091369,,,0.9949550308653564,0.9997575010335378,0.9242490579240735,0.894411024721677,0.9994674136369102,0.9978738615604631,0.9993521964342281,,,0.9994674136369108,0.9994644366100761,0.9994703604052474,0.9494958105402591,,0.989640183417176,0.9981535776589242,0.9977848958771711,0.9771014463656037,0.9617215909263678,0.997089379721642,0.980110162807582
ImblName:noImbl,0.9967801974357323,0.9990522178747486,0.9967801974357323,0.9971964038256258,0.9993416725806603,0.9360509648702202,0.9074743548804205,1.0,0.9988757859334128,0.9988402838979085,0.9982132556512798,0.9994674136369108,,0.9999999845671381,0.9999999845609172,0.9397601577599889,0.9988244678279157,0.9923969620972023,0.9968806145008542,0.9992968820078604,0.9815781702295053,0.9543232163780572,0.9951642204050553,0.9758208001183524
Norm_Order:first,0.9967847242407191,0.9990566466097491,0.9967847242407191,0.9971963934882423,0.9993393840716885,0.936087267630972,0.9075327016699386,0.9999999845671381,0.9988820537647249,0.9988331451259167,0.9982042825903596,0.9994644366100761,0.9999999845671381,,,0.9397126560406459,0.9988299214769746,0.9924150876544504,0.9968805937874012,0.9992992157003618,0.9815750736618991,0.954279245555128,0.9951634456530718,0.9758209214904798
Norm_Order:last,0.9967756389425801,0.9990477574012028,0.9967756389425801,0.9971963833765987,0.9993439306962238,0.9360146258908678,0.9074159683109317,0.9999999845609172,0.9988694859982743,0.9988473932696972,0.9982221997011155,0.9994703604052474,0.9999999845609172,,,0.9398076400396633,0.9988189822407374,0.9923788022458586,0.9968806044397359,0.9992945169915803,0.9815812371150414,0.9543671665999186,0.9951649645874617,0.9758206485932343
Prob_Threshold:0.5,0.9167604755349369,0.9256660408447206,0.9167604755349369,0.9268190636941575,0.9468756349865658,0.7695229634168647,,0.9397601577599889,0.92847532514025,0.9533716986464739,0.9583644244993137,0.9494958105402591,0.9397601577599889,0.9397126560406459,0.9398076400396633,,0.9309075596903046,0.8979434816906693,0.9476991671526094,0.9311065632542548,0.9019552687101229,0.9960764806446818,0.9513018694905028,0.9452406174491073
FeatureNum:5.0,0.9945978418904914,,,0.9937820947270585,0.9988348493295066,0.9362072995001345,0.9159295716060657,0.9988244678279157,0.9999539055848476,0.9957640611346182,,,0.9988244678279157,0.9988299214769746,0.9988189822407374,0.9309075596903046,,0.9965135015673486,0.9980735368571182,0.9974319008190484,0.9740465860070646,0.9435998164568679,0.9965824597016534,0.9814709843770907
Model:GradientBoosting,0.9913121960269898,0.993986833795124,0.9913121960269898,0.9879007621163246,0.9913481993075676,,0.9431855175058672,0.9923969620972023,0.9968791454139234,0.9853777089991285,0.9842330648826212,0.989640183417176,0.9923969620972023,0.9924150876544504,0.9923788022458586,0.8979434816906693,0.9965135015673486,,0.9911090207054161,0.9921078569566938,,,,
Scaler:standard,0.9878507506084918,0.9932771368751284,0.9878507506084918,,0.998891684583792,0.9126723417076297,0.8912839957792151,0.9968806145008542,0.9974618752879254,0.9955354784689597,0.9965903615306316,0.9981535776589242,0.9968806145008542,0.9968805937874012,0.9968806044397359,0.9476991671526094,0.9980735368571182,0.9911090207054161,,0.9934231308457269,0.9635092802541078,0.955515324932684,0.9997696224671824,0.9900038717013986
Split_Ratio:0.1,0.9989512074071291,0.9998341642242607,0.9989512074071291,0.9991087710751712,,0.946886335850776,0.9166593168045707,0.9992968820078604,0.9978371174812909,0.9977503153813398,0.9962381242460496,0.9977848958771711,0.9992968820078604,0.9992992157003618,0.9992945169915803,0.9311065632542548,0.9974319008190484,0.9921078569566938,0.9934231308457269,,0.9873105534816788,0.948885665873976,0.9910209063752682,0.9674931833730378
Model:LogisticRegression,0.991878476333,0.9865419571491849,0.991878476333,0.9930544402296158,0.9747172853417029,,0.9159422234620738,0.9815781702295053,0.9756095158610308,0.981764282509389,0.9772794833817207,0.9771014463656037,0.9815781702295053,0.9815750736618991,0.9815812371150414,0.9019552687101229,0.9740465860070646,,0.9635092802541078,0.9873105534816788,,,,
Model:sklearn_SVM,0.9381140428592588,0.9436162030135408,0.9381140428592588,0.9476950096462874,0.9583072402939432,,0.744058064982657,0.9543232163780572,0.9419757477400899,0.9672294140591167,0.9702007894347549,0.9617215909263678,0.9543232163780572,0.954279245555128,0.9543671665999186,0.9960764806446818,0.9435998164568679,,0.955515324932684,0.948885665873976,,,,
Model:XGBmodel,0.9844775783940986,0.9907193116683237,0.9844775783940986,0.9850645553337393,0.9978412219289385,,0.883316424670653,0.9951642204050553,0.9957890250391879,0.9941916833475145,0.9956817395750036,0.997089379721642,0.9951642204050553,0.9951634456530718,0.9951649645874617,0.9513018694905028,0.9965824597016534,,0.9997696224671824,0.9910209063752682,,,,
Model:DTmodel,0.9567888448423763,0.967679635004191,0.9567888448423763,0.9567519151240483,0.982572575742486,,0.8508713213323739,0.9758208001183524,0.9796967249562976,0.9738613599884097,0.9778961270222288,0.980110162807582,0.9758208001183524,0.9758209214904798,0.9758206485932343,0.9452406174491073,0.9814709843770907,,0.9900038717013986,0.9674931833730378,,,,
