Part_Label,AugName:gaussian_noise,Model:DTmodel,AugName:mixup,AugName:noAug,Model:sklearn_SVM,ImblName:ADASYN,Prob_Threshold:0.35,Split_Ratio:0.2,ImblName:TomekLinks,ImblName:noImbl,Prob_Threshold:0.5,Model:GradientBoosting,Model:XGBmodel,Split_Ratio:0.1,Model:LogisticRegression,ImblName:RandomUnderSampler,ImblName:SMOTE,Model:random_forest,FS_Method:biMaxInfgain,FS_Method:biMeanInfgain,FS_Method:infgain,FS_Method:noSelect,FeatureNum:4.0,FeatureNum:5.0,FeatureNum:6.0,FeatureNum:7.0,FeatureNum:8.0,Norm_Order:first,Norm_Order:last,Scaler:minmax,Scaler:standard
Prob_Threshold:0.5,0.7662341600607261,0.9564303554947139,0.9387613488215721,0.9047138219720697,0.890482432461077,0.7179834834532122,,0.8781441520652719,0.9957472643553256,0.9572693259644192,,0.8281377724906196,0.8402939773220962,0.8623953105186861,0.7781247405964951,0.7743715023165618,0.7734534230864543,0.811086791876889,0.8590847781124835,0.8552512579982915,0.8950056942634771,0.8828707437541075,0.8941169631298902,0.86095564653996,0.8622037902954944,0.8614789621233656,0.8828707437541075,0.8875674720613571,0.8543367218589559,0.844232053338989,0.8948056224667045
Model:GradientBoosting,0.9784327782167246,,0.9233344338273881,0.9546389491929409,,0.9845902371175346,0.9898666205275636,0.994790926117374,0.777613062751448,0.6593077227246733,0.8281377724906196,,,0.9975829347178486,,0.9930015895547453,0.9943981368307009,,0.9980953789045681,0.9985010920598502,0.9906467897035668,0.9940439914516018,0.9910042390036102,0.9977971066781055,0.9977256715391806,0.9978283298313527,0.9940439914516018,0.9928379097766771,0.9985418220881791,0.9976649225829929,0.9898297366005125
Model:XGBmodel,0.9768614313952196,,0.929465395997291,0.9584165935239675,,0.9805054643230388,0.986547597309136,0.9967002478575431,0.7913450696700951,0.6756840056242145,0.8402939773220962,,,0.9987146289192315,,0.990702809376931,0.9920696258895952,,0.9991042929820846,0.9993495513975664,0.9933367364563026,0.9961413542889948,0.9936282807079306,0.9988927382104711,0.9988854374020014,0.9989507237556198,0.9961413542889948,0.995130521217726,0.999375681006491,0.9980079909417092,0.9926393576894765
Split_Ratio:0.1,0.9676515470352279,0.6915734853417979,0.9458623468827517,0.970113429264448,0.9979624341880475,0.9713334567481765,0.9791034524532723,,0.8155266571091858,0.7018141349281852,0.8623953105186861,0.9975829347178486,0.9987146289192315,,0.9876411683348819,0.9871148333417687,0.9876376381729023,0.9952472375069642,0.9999109871716032,0.9998094207561499,0.9972528204903389,0.9988714349661205,0.9976149783979326,0.999876337191986,0.9998147277288922,0.9998592139579742,0.9988714349661205,0.9985887350015286,0.9995653630085112,0.9988572116637756,0.9953436011290239
Model:LogisticRegression,0.9866871991084866,,0.8876345820989133,0.9281831730488991,,0.9949310485694567,0.9977382510575967,0.9837044175298189,0.7232562412243226,0.6001619687034487,0.7781247405964951,,,0.9876411683348819,,0.9952490883661217,0.9968731636895175,,0.9891444512543589,0.9902420081077707,0.9764141768644187,0.9816172053832295,0.9765450773302428,0.9888044425437956,0.9885621969644115,0.988680311425613,0.9816172053832295,0.9791696729608103,0.9908635114938207,0.9903516785891067,0.9758559480756631
ImblName:RandomUnderSampler,0.9663195800105735,0.5808021569431926,0.9064442776337304,0.946388950934031,0.9759717834913727,,0.9964626454448164,0.9799594883946294,,,0.7743715023165618,0.9930015895547453,0.990702809376931,0.9871148333417687,0.9952490883661217,,,0.9951872975403551,0.9875637107171062,0.9885064887761336,0.9733067469667969,0.9788855298449182,0.9743772197378033,0.986953606451371,0.9862231147142007,0.9865827536344245,0.9788855298449182,0.9777460948260822,0.9880424227864433,0.9928288553331448,0.9686493584358029
ImblName:SMOTE,0.9714771605023562,0.5761874125474727,0.9018033932608561,0.942254269417156,0.9763269280673746,,0.9978203584647738,0.9808257148858098,,,0.7734534230864543,0.9943981368307009,0.9920696258895952,0.9876376381729023,0.9968731636895175,,,0.9966619068676185,0.98829762820905,0.989295854266164,0.9738619887160274,0.9795771200771869,0.9747885389352667,0.9876619521822606,0.987065028460189,0.9873902685020908,0.9795771200771869,0.978126995552897,0.9890241361143682,0.9926053927940711,0.9703472456965057
Model:random_forest,0.9806236617563218,,0.9134895595495254,0.9480016068544282,,0.9893858796801865,0.9936510598100886,0.9915798157729719,0.7586170149226726,0.6373228544600328,0.811086791876889,,,0.9952472375069642,,0.9951872975403551,0.9966619068676185,,0.9959804532152038,0.9966117943007453,0.9863542542250795,0.990516844004882,0.9867538171624146,0.9955885515371825,0.9954431403515955,0.9955833516755711,0.990516844004882,0.9889925507899737,0.9967249740735665,0.996331597095675,0.9854851328804362
FS_Method:biMaxInfgain,0.9708365048214933,0.686064551467451,0.9418372657262962,0.966934202791306,0.9976930663237166,0.9730295072546611,0.9805756280875737,0.9989716152414031,0.8121525925272907,0.6990423309457697,0.8590847781124835,0.9980953789045681,0.9991042929820846,0.9999109871716032,0.9891444512543589,0.9875637107171062,0.98829762820905,0.9959804532152038,,,,,0.9972753769913002,0.9999800750838613,0.9999513771732139,0.9999754944500749,0.9987589130932213,0.9982562883768743,0.9998678051375055,0.9987106876137364,0.9955062674513533
FS_Method:biMeanInfgain,0.9721817650017041,0.6805531625597007,0.9394984842450167,0.9654260876216593,0.9971936215454837,0.9747297664974542,0.9820196242234757,0.9986962030729785,0.807866876727264,0.694146487582166,0.8552512579982915,0.9985010920598502,0.9993495513975664,0.9998094207561499,0.9902420081077707,0.9885064887761336,0.989295854266164,0.9966117943007453,,,,,0.9967117140648946,0.9999298548966316,0.9998910424171578,0.9999210166974676,0.9983889169569219,0.9977846816124062,0.9999324056527252,0.9988084154265261,0.9950037904249989
FS_Method:infgain,0.9603734372752708,0.7377379714712096,0.9555099748976521,0.9725421159628967,0.9998795676268332,0.9528200751218071,0.963066537101933,0.9993040013298864,0.8539409318380274,0.7512670268301197,0.8950056942634771,0.9906467897035668,0.9933367364563026,0.9972528204903389,0.9764141768644187,0.9733067469667969,0.9738619887160274,0.9863542542250795,,,,,0.9999482156753807,0.9973572165266801,0.9975398335325658,0.9974154448385304,0.9996142219850238,0.9996994588090763,0.9963963108589691,0.9934114915153928,0.9989066191233803
