Part_Label,AugName:gaussian_noise,Model:DTmodel,ImblName:TomekLinks,ImblName:noImbl,Prob_Threshold:0.5,AugName:mixup,AugName:noAug,Model:sklearn_SVM,Model:LogisticRegression,FeatureNum:4.0,FeatureNum:5.0,Norm_Order:first,Scaler:standard,FS_Method:biMaxInfgain,FS_Method:biMeanInfgain,FS_Method:infgain,FeatureNum:6.0,Model:XGBmodel,Random_State:7.0,Split_Ratio:0.1,Split_Ratio:0.2,ImblName:ADASYN,Prob_Threshold:0.35,ImblName:RandomUnderSampler,ImblName:SMOTE,FS_Method:noSelect,FeatureNum:7.0,FeatureNum:8.0,Model:GradientBoosting,Model:random_forest,Norm_Order:last,Scaler:minmax
Split_Ratio:0.2,0.9615388836328002,0.7166690147415707,0.835388594178429,0.7695633058476007,0.8778380984184959,0.938681315514123,0.9723820465489996,0.9895721435784349,0.9847737218981696,0.999816148353013,0.9988793811937483,0.9989199310805994,0.9974736158821195,0.999380673943626,0.9988333525025305,0.9992097350501093,0.9986559864166051,0.9953367038639779,0.9995294443547775,,,0.974565418041499,0.9738749809515519,0.9745100989635752,0.9878755627583652,0.9990248952677167,0.9989932049702749,0.9990248952677167,0.9936863351351274,0.9872458261779058,0.9972084221448878,0.9998247394315408
ImblName:ADASYN,0.9838377832637496,0.5431691239378448,,,0.7500280845609355,0.8467293520003889,0.9143630687063193,0.9462642723939173,0.9955763886764027,0.9761668330857753,0.9839784356113859,0.9643570070907505,0.9833083541169877,0.980677799770036,0.9825318207614613,0.9688309949944588,0.9686092418568218,0.9910197632267373,0.9783240807954088,0.9809897095010428,0.974565418041499,,0.99996134097395,,,0.9831446380025618,0.9802969547500013,0.9831446380025618,0.9934332407105725,0.9974188979146809,0.9874606524637283,0.971028492287106
Prob_Threshold:0.35,0.9828478224177728,0.5411591887510205,0.6919978853178769,0.614439584410653,,0.8460444769399179,0.9142562300203217,0.9448250149615479,0.9952912619742603,0.9754837717119118,0.9833983407447904,0.9634868131149423,0.9824662351247484,0.9799564098965781,0.9818283512345157,0.9679707646491531,0.9675991476760405,0.99051606828258,0.9775758250129688,0.9801883991386685,0.9738749809515519,0.99996134097395,,0.9988710394780408,0.9960339932971063,0.9825362953801078,0.9795167553711172,0.9825362953801078,0.9929756005419275,0.9969932607631925,0.9868185671309001,0.9703834372760403
ImblName:RandomUnderSampler,0.9734287926980307,0.5512722063579688,,,0.7482657823933261,0.8567933140652373,0.9245075954018038,0.9409108616173022,0.9922041736979145,0.9754635070817737,0.9833345110194289,0.9635920989819635,0.9803074495040162,0.9794648071351838,0.9809136053134484,0.9674345319903928,0.966229516819566,0.9905468338275748,0.9769579028815745,0.9784075414682214,0.9745100989635752,,0.9988710394780408,,,0.9822956074211242,0.9783523037238466,0.9822956074211242,0.9921412649313268,0.9955053274608943,0.9855853252143539,0.9714371004801458
ImblName:SMOTE,0.9728669030260887,0.6083094477664296,,,0.7932738906729508,0.8894702086721592,0.9466072410848426,0.9602632929606216,0.9940979242767471,0.9882308184616115,0.9934521162192518,0.979805441083098,0.9905495824357917,0.9909015831114018,0.9915897701642111,0.9823912248126746,0.9813331701341728,0.9975807271000474,0.9891272483693777,0.989456029446716,0.9878755627583652,,0.9960339932971063,,,0.9927254280894293,0.9898324965550912,0.9927254280894293,0.9978270957510651,0.9981401933780376,0.9942695459511467,0.9856721234002218
FS_Method:noSelect,0.9715085004895435,0.685751368659739,0.8134651718003393,0.7465380258998345,0.8579452216456154,0.9229888502637197,0.9630962928715113,0.9865400588205343,0.9913829235545852,0.9993765184267289,0.9999754025520999,0.9964709345259202,0.9991792551811706,,,,0.9973320767811501,0.9981739523052618,0.99963630923504,0.9993617390825379,0.9990248952677167,0.9831446380025618,0.9825362953801078,0.9822956074211242,0.9927254280894293,,0.9996713038944599,1.0,0.9975418928829817,0.9930355259393474,0.9994957683581599,0.9981982285094215
FeatureNum:7.0,0.9727854481782426,0.6927424710507207,0.8231762252046648,0.7593722467448563,0.8658038934813136,0.9231935408173823,0.960945560044602,0.9900954889160186,0.9904714054575043,,,0.9973887999784685,0.9996441255897746,0.9998763354940181,0.9999155408480618,0.9985972860594424,,0.9968380717468085,0.9998918728256931,0.9998838045047178,0.9989932049702749,0.9802969547500013,0.9795167553711172,0.9783523037238466,0.9898324965550912,0.9996713038944599,,,0.9963249299993616,0.9913478843012443,0.9991854974183598,0.9982263964021366
FeatureNum:8.0,0.9715085004895435,0.685751368659739,0.8134651718003393,0.7465380258998345,0.8579452216456154,0.9229888502637197,0.9630962928715113,0.9865400588205343,0.9913829235545852,,,0.9964709345259202,0.9991792551811706,0.9998727977060544,0.9998865093818373,0.9976845973742101,,0.9981739523052618,0.99963630923504,0.9993617390825379,0.9990248952677167,0.9831446380025618,0.9825362953801078,0.9822956074211242,0.9927254280894293,1.0,,,0.9975418928829817,0.9930355259393474,0.9994957683581599,0.9981982285094215
Model:GradientBoosting,0.9803163807810411,,0.7719582029971042,0.7011510293786447,0.8205698022248225,0.8974283810926681,0.9480337470263152,,,0.9944562515851301,0.9978523639310596,0.9881880329785584,0.9972343411105736,0.9966001065894639,0.9972843227792063,0.9906451413017893,0.9904676183917961,,0.9955168297592586,0.9963776551675101,0.9936863351351274,0.9934332407105725,0.9929756005419275,0.9921412649313268,0.9978270957510651,0.9975418928829817,0.9963249299993616,0.9975418928829817,,,0.9989404320847743,0.9917293554850637
Model:random_forest,0.9840878100429279,,0.742686494079317,0.6699401736819073,0.7936890439897364,0.8771185388556557,0.9344270227801199,,,0.9882834025669048,0.9935602791630652,0.9798353697473987,0.9932978661126904,0.9916316115302273,0.9927605226709172,0.9831448336436,0.9832351446290767,,0.989969260959916,0.9916638615631711,0.9872458261779058,0.9974188979146809,0.9969932607631925,0.9955053274608943,0.9981401933780376,0.9930355259393474,0.9913478843012443,0.9930355259393474,,,0.9958020746236984,0.984445993057799
Norm_Order:last,0.9781673428024545,0.6643808505674441,0.7996462018406229,0.7329708454425778,0.8449633739904283,0.910536814652774,0.9544939958631822,0.9843136199429586,0.9946297494170483,0.9979523284969012,0.9995243465066697,,0.9995258711240709,0.9991699242755236,0.999571508209629,0.9957071881710141,0.995696846263924,0.9988827863274978,0.9986915000988341,0.9992270718868302,0.9972084221448878,0.9874606524637283,0.9868185671309001,0.9855853252143539,0.9942695459511467,0.9994957683581599,0.9991854974183598,0.9994957683581599,0.9989404320847743,0.9958020746236984,,0.9958552632327511
Scaler:minmax,0.9575119525646524,0.7274088789062891,0.8425571574046561,0.7771618376444619,0.8843038473051744,0.9437245820943412,0.9752682577172047,0.9902487637591005,0.9823419807884696,0.999558796626013,0.9979892862776862,0.9993442454621659,,0.9986424242686924,0.9979503700959659,0.9993293471068811,0.9985704755052911,0.9935777375428737,0.998993825033677,0.997380584652662,0.9998247394315408,0.971028492287106,0.9703834372760403,0.9714371004801458,0.9856721234002218,0.9981982285094215,0.9982263964021366,0.9981982285094215,0.9917293554850637,0.984445993057799,0.9958552632327511,
