Part_Label,AugName:gaussian_noise,Model:DTmodel,ImblName:TomekLinks,ImblName:noImbl,Prob_Threshold:0.5,AugName:mixup,AugName:noAug,Model:sklearn_SVM,Random_State:126.0,Model:LogisticRegression,ImblName:ADASYN,ImblName:RandomUnderSampler,Prob_Threshold:0.35,Random_State:23.0,FS_Method:biMaxInfgain,FS_Method:biMeanInfgain,FS_Method:infgain,FeatureNum:4.0,FeatureNum:5.0,FeatureNum:6.0,Model:GradientBoosting,Model:XGBmodel,Norm_Order:first,Scaler:standard,Split_Ratio:0.1,ImblName:SMOTE,Model:random_forest,FS_Method:noSelect,FeatureNum:7.0,FeatureNum:8.0,Norm_Order:last,Random_State:5012.0,Scaler:minmax,Split_Ratio:0.2
ImblName:ADASYN,0.9812916259841276,0.5135396528596052,,,0.6906013625098305,0.8192173571047155,0.9050230759415198,0.9475640677173001,0.9810817190303814,0.9947251984101733,,,0.9999561258757459,0.9694102413124016,0.9708476250348185,0.9713361809746048,0.958974843477035,0.9627297334405994,0.9746325153303146,0.9608163449205576,0.9840333628487351,0.9787771695830901,0.9497683657681699,0.9825186365901026,0.9715849346865351,,0.9897489950969629,0.9685956795379028,0.9698240764902913,0.9685956795379028,0.9796634621862202,0.9453407300554669,0.944395753035396,0.9630131512031715
ImblName:RandomUnderSampler,0.9708188935865283,0.545569178037608,,,0.7068190313067266,0.8430636922347792,0.9250593914859958,0.9497363250624977,0.9842397109938091,0.9902791578490945,,,0.9985231996044173,0.9742406992313026,0.975590172519022,0.9758993253175211,0.9635606949845833,0.9685515624663168,0.9792898192165034,0.9651491043645284,0.9869380438989064,0.9824647899124029,0.9567007915459412,0.9851047486260437,0.9752817598847842,,0.9916969644501801,0.9720405025794218,0.9735839761125976,0.9720405025794218,0.9821224042622079,0.9510568972400895,0.9511779249547138,0.9684189028915369
Prob_Threshold:0.35,0.980246907887819,0.5193879183747114,0.6371240472105029,0.5410059624037356,,0.8235189757655843,0.9085412144264721,0.9486292840907294,0.9820682286900918,0.9944810777154923,0.9999561258757459,0.9985231996044173,,0.9707075704500551,0.9721209491319855,0.9725831082948366,0.9603059836125394,0.9642033209919812,0.9758681491737652,0.9621001815404415,0.9849505925852735,0.979846550117657,0.951459852794279,0.983414349751577,0.9727155291994688,0.9953519363426201,0.9904683085481544,0.9697121418194834,0.9709732247219736,0.9697121418194834,0.9805667497908044,0.9468896710886683,0.9460946676447574,0.9644276738401382
Random_State:23.0,0.9670800841369835,0.7039504991445362,0.803119926351983,0.7233914122668357,0.8466579709748763,0.9270228615683104,0.968821464727458,0.9944178560279219,,0.9794319175233543,0.9694102413124016,0.9742406992313026,0.9707075704500551,,0.9999198223444241,0.9999322431777083,0.99899248611468,0.9996500333873476,0.9996907393404972,0.9991904361802069,0.9972344571600124,0.9988673385177556,0.9975057865669561,0.9980598004070947,0.9998209978888508,0.9861733678390123,0.9933212833370841,0.9996741987639636,0.9997900866611138,0.9996741987639636,0.9987081040931803,,0.9961870770682968,0.999676075659968
FS_Method:biMaxInfgain,0.9676236966523718,0.7000557823056762,0.7995266706069339,0.7189895857797829,0.8434380812300225,0.9256533738766907,0.9685193748635047,0.9936374729367192,0.9988499403807444,0.979993212669969,0.9708476250348185,0.975590172519022,0.9721209491319855,0.9999198223444241,,,,0.9994059135138952,0.9998391136106257,0.9989457752791012,0.9978478486526143,0.999282619836072,0.9970716778844309,0.9984144294581356,0.9998391520941751,0.987247420656235,0.9943250172009249,,0.9998139270602387,0.9995837930334429,0.9989389260401822,0.9956920979483821,0.9956080520795632,0.9995004504812843
FS_Method:biMeanInfgain,0.9684399628019267,0.6982944561960541,0.7984982789214082,0.7181113188120916,0.8424672917037651,0.9245149441577578,0.9677249042485822,0.9937421273007008,0.9989592784527376,0.9806247945726874,0.9713361809746048,0.9758993253175211,0.9725831082948366,0.9999322431777083,,,,0.9993607926935427,0.9998593064897352,0.9989337876692307,0.9979338359922781,0.9993203390486263,0.9969222300075876,0.9985508418870268,0.9998897659009216,0.9874203129746255,0.9944449024133312,,0.9998425486629215,0.9996391586413598,0.9990734001620919,0.9955662597045386,0.9954558937117135,0.9994543129433361
FS_Method:infgain,0.9633903069412795,0.7257076955756336,0.8266989421239133,0.7524913507594945,0.8671381775816408,0.9342420356095384,0.968523514312739,0.9978596654801337,0.9955618036331618,0.9731106899814582,0.958974843477035,0.9635606949845833,0.9603059836125394,0.99899248611468,,,,0.9995357704935408,0.9976273153435936,0.9999392590285453,0.9934497935313982,0.9961546367866232,0.999111093014066,0.9949177471015632,0.9987822674097527,0.9779157651796442,0.9879612494567843,,0.9990575345008597,0.9993097307004823,0.9963213444207096,0.9989021733345129,0.9986784456395305,0.9996526707799694
FeatureNum:4.0,0.9612824367297104,0.7222491770263789,0.8177241674839083,0.7394301402014734,0.8598438414642894,0.9359055556492004,0.9730356799500055,0.9954662730552247,0.996797447273971,0.9740298174625832,0.9627297334405994,0.9685515624663168,0.9642033209919812,0.9996500333873476,0.9994059135138952,0.9993607926935427,0.9995357704935408,,,,0.9950394476621458,0.9973952201015915,0.9989805846553182,0.9960815575435323,0.9991455340920862,0.9820208938771149,0.9901187307392955,0.9992489079106053,,,0.9970523494322994,0.997860090026848,0.9980424060057662,0.9999537198453887
FeatureNum:5.0,0.9692688707923626,0.6896635898781351,0.7891584191565245,0.7067997584413658,0.8342673187526726,0.9211541521896943,0.9671735392050075,0.9919001342346718,0.9994495856489503,0.9824686009265226,0.9746325153303146,0.9792898192165034,0.9758681491737652,0.9996907393404972,0.9998391136106257,0.9998593064897352,0.9976273153435936,,,,0.998682285627171,0.999672399942083,0.9956941071370013,0.9990973039791565,0.9996504204399527,0.9898726921064799,0.9957533609210047,0.9991501463829646,,,0.999340471666177,0.9939143235281209,0.9939012738858314,0.9988357438382738
FeatureNum:6.0,0.9648022133863652,0.721203845892028,0.8231413059312129,0.7483859637731065,0.8639254347882307,0.9323947993061074,0.967819502475364,0.9975326593871954,0.996164933658412,0.9743044262096849,0.9608163449205576,0.9651491043645284,0.9621001815404415,0.9991904361802069,0.9989457752791012,0.9989337876692307,0.9999392590285453,,,,0.9943192700902034,0.9968168348288701,0.9988890414513271,0.995588384661516,0.9991065402870897,0.9791915467172262,0.9892047344838547,0.9995521349885959,,,0.9968905233218628,0.9986658073087875,0.9983366948930856,0.9997307322163311
