Metric,Model,Avg_Rank,CD,Friedman_chi2,Friedman_p
Micro_Precision,GradientBoosting,3.6666666666666665,3.578991617760511,14.047619047619037,0.015309746283002858
Micro_Precision,random_forest,5.0,3.578991617760511,14.047619047619037,0.015309746283002858
Micro_Precision,DTmodel,6.0,3.578991617760511,14.047619047619037,0.015309746283002858
Micro_Recall,sklearn_SVM,1.0,3.578991617760511,14.047619047619037,0.015309746283002858
Micro_Recall,LogisticRegression,2.3333333333333335,3.578991617760511,14.047619047619037,0.015309746283002858
Micro_Recall,XGBmodel,3.0,3.578991617760511,14.047619047619037,0.015309746283002858
Micro_Recall,GradientBoosting,3.6666666666666665,3.578991617760511,14.047619047619037,0.015309746283002858
Micro_Recall,random_forest,5.0,3.578991617760511,14.047619047619037,0.015309746283002858
Micro_Recall,DTmodel,6.0,3.578991617760511,14.047619047619037,0.015309746283002858
Micro_F1,sklearn_SVM,1.0,3.578991617760511,14.047619047619037,0.015309746283002858
Micro_F1,LogisticRegression,2.3333333333333335,3.578991617760511,14.047619047619037,0.015309746283002858
Micro_F1,XGBmodel,3.0,3.578991617760511,14.047619047619037,0.015309746283002858
Micro_F1,GradientBoosting,3.6666666666666665,3.578991617760511,14.047619047619037,0.015309746283002858
Micro_F1,random_forest,5.0,3.578991617760511,14.047619047619037,0.015309746283002858
Micro_F1,DTmodel,6.0,3.578991617760511,14.047619047619037,0.015309746283002858
Integrated_Score,sklearn_SVM,1.0,3.578991617760511,15.0,0.010362337915786436
Integrated_Score,LogisticRegression,2.0,3.578991617760511,15.0,0.010362337915786436
Integrated_Score,XGBmodel,3.0,3.578991617760511,15.0,0.010362337915786436
Integrated_Score,GradientBoosting,4.0,3.578991617760511,15.0,0.010362337915786436
Integrated_Score,random_forest,5.0,3.578991617760511,15.0,0.010362337915786436
Integrated_Score,DTmodel,6.0,3.578991617760511,15.0,0.010362337915786436
