Part_Label,FS_Method:noSelect,FeatureNum:5.0,FeatureNum:8.0,Model:random_forest,AugName:noAug,FS_Method:biMaxInfgain,FeatureNum:4.0,FeatureNum:6.0,ImblName:noImbl,Norm_Order:first,Norm_Order:last,Prob_Threshold:0.5,Scaler:minmax,Scaler:standard,FS_Method:infgain,FeatureNum:7.0,Model:GradientBoosting,Split_Ratio:0.2,Model:XGBmodel,Split_Ratio:0.1,Model:sklearn_SVM,Model:LogisticRegression,Model:DTmodel
Norm_Order:last,0.9981515492847582,0.9985493933048523,0.9981515492847582,0.9981043099843381,0.9999977497011054,0.9988081163701612,0.9995549719623884,0.9998157760766568,0.9999977497011054,,,0.9999977497011038,0.9994264645543511,0.9994887804379896,0.9993570873628622,0.9998739786466723,0.9883598764194959,0.9942746437359168,0.9992419906574996,0.9894345890360532,0.9454991736387534,0.9801558929848089,0.9194456443641121
Prob_Threshold:0.5,0.9982756742729584,0.9984330362859523,0.9982756742729584,0.9979902484930461,1.0,0.9987071713352128,0.999615651665311,0.9997908563501353,1.0,0.99999776656839,0.9999977497011038,,0.9994930873929156,0.9994223096737577,0.9994266959373074,0.9998944659237302,0.9880421818771712,0.9944863858381832,0.999245056502888,0.9891432240670739,0.9461695897221372,0.9805715002915033,0.9186623462283794
Scaler:minmax,0.9995101201140125,0.9962108686406677,0.9995101201140125,0.9957107058859797,0.9994930873929156,0.9966381258141013,0.9999260411334455,0.9989022216341422,0.9994930873929156,0.9995549870613986,0.9994264645543511,0.9994930873929156,,,0.9999658448854248,0.9996802063627652,0.9832625602644565,0.9967995214826284,0.9984287089878663,0.9846938285501646,0.9547458783544872,0.9857737678907439,0.9078637245948302
Scaler:standard,0.9958409897781165,0.9996881567709267,0.9958409897781165,0.9993071129182757,0.9994223096737577,0.9997985251990322,0.9981659104822607,0.9996208934663521,0.9994223096737577,0.9993516158004794,0.9994887804379896,0.9994223096737577,,,0.9977329623641977,0.999004482638296,0.9920390441742002,0.990904425133862,0.998998536722296,0.992786333723531,0.9359556876958339,0.9739209209970285,0.9291621953829281
FS_Method:infgain,,0.9960788310398634,0.9996219468975855,0.9953405458815102,0.9994266959373074,,0.9998806087663995,0.9986885617153485,0.9994266959373074,0.999491570427851,0.9993570873628622,0.9994266959373074,0.9999658448854248,0.9977329623641977,,0.999712944526505,0.9830229120495979,0.9966509983148945,0.9982388364089854,0.9847437669716697,0.9547558851538304,0.9859813799929568,0.9079978120501517
FeatureNum:7.0,0.998798522628093,,,0.9970427662243257,0.9998944659237302,0.9980225391918519,,,0.9998944659237302,0.9999104014657652,0.9998739786466723,0.9998944659237302,0.9996802063627652,0.999004482638296,0.999712944526505,,0.9868425866271249,0.9948324967381297,0.998809817664711,0.988406733926966,0.9480112877900617,0.9820352990383401,0.9168286032264963
Model:GradientBoosting,0.9777718823152443,0.9948738372659727,0.9777718823152443,,0.9880421818771712,0.9937184184924363,0.9834276860567056,0.9896474520103772,0.9880421818771712,0.9877212584584649,0.9883598764194959,0.9880421818771712,0.9832625602644565,0.9920390441742002,0.9830229120495979,0.9868425866271249,,0.966861620817872,,0.9993626560000002,,,
Split_Ratio:0.2,0.9980903627165547,0.9874051640582886,0.9980903627165547,0.9881745065052946,0.9944863858381832,0.9889151439069827,0.9969342660725018,0.9934776530038305,0.9944863858381832,0.9946928822781284,0.9942746437359168,0.9944863858381832,0.9967995214826284,0.990904425133862,0.9966509983148945,0.9948324967381297,0.966861620817872,,0.9949906189103483,,0.9746202946451519,0.994916883024555,0.8722614282343247
Model:XGBmodel,0.9973152690081333,0.9976992673749279,0.9973152690081333,,0.999245056502888,0.9984675380720257,0.9989852371206687,0.9993240326787942,0.999245056502888,0.9992436389341137,0.9992419906574996,0.999245056502888,0.9984287089878663,0.998998536722296,0.9982388364089854,0.998809817664711,,0.9949906189103483,,0.9866377501628719,,,
Split_Ratio:0.1,0.9799840715098064,0.995332840874993,0.9799840715098064,0.9931996506288373,0.9891432240670739,0.9938700180169021,0.9847970461590186,0.9900584793652402,0.9891432240670739,0.9888485264310819,0.9894345890360532,0.9891432240670739,0.9846938285501646,0.992786333723531,0.9847437669716697,0.988406733926966,0.9993626560000002,,0.9866377501628719,,0.8887169214938097,0.9422461652427014,0.9666149304086656
Model:sklearn_SVM,0.9620151064734573,0.9271115682772143,0.9620151064734573,,0.9461695897221372,0.9307128649131828,0.9547138888845661,0.9427435412587508,0.9461695897221372,0.9468332541301259,0.9454991736387534,0.9461695897221372,0.9547458783544872,0.9359556876958339,0.9547558851538304,0.9480112877900617,,0.9746202946451519,,0.8887169214938097,,,
Model:LogisticRegression,0.9900458301060155,0.9681814189543477,0.9900458301060155,,0.9805715002915033,0.9700617132569956,0.9856118198573238,0.9779048237488429,0.9805715002915033,0.9809811587290519,0.9801558929848089,0.9805715002915033,0.9857737678907439,0.9739209209970285,0.9859813799929568,0.9820352990383401,,0.994916883024555,,0.9422461652427014,,,
Model:DTmodel,0.8969995961653068,0.937863868648752,0.8969995961653068,,0.9186623462283794,0.9334550464818734,0.9076819860601028,0.9216639853148613,0.9186623462283794,0.917877877974378,0.9194456443641121,0.9186623462283794,0.9078637245948302,0.9291621953829281,0.9079978120501517,0.9168286032264963,,0.8722614282343247,,0.9666149304086656,,,
