Part_Label,FeatureNum:4.0,Split_Ratio:0.2,Model:LogisticRegression,FeatureNum:7.0,Split_Ratio:0.1,FS_Method:noSelect,FeatureNum:8.0,Scaler:minmax,Model:sklearn_SVM,AugName:noAug,ImblName:noImbl,Norm_Order:first,Norm_Order:last,Prob_Threshold:0.5,FS_Method:biMaxInfgain,FeatureNum:6.0,FeatureNum:5.0,Model:random_forest,FS_Method:infgain,Model:GradientBoosting,Model:XGBmodel,Scaler:standard,Model:DTmodel
Prob_Threshold:0.5,0.9938287417562249,0.9990752480047419,0.9935557091109962,0.999775636904293,0.999214871820187,0.9999094710172387,0.9999094710172387,0.9984948068659909,0.9854820846659834,1.0,1.0,0.9999998684336375,0.9999998680825875,,0.997490326712744,0.9999167459223136,0.9934980146354904,0.988791025716974,0.9975795584696305,0.9983497747468358,0.9892765824325023,0.9985683098145088,0.9614280749252461
FS_Method:biMaxInfgain,0.9836106440956018,0.9939512167742738,0.9841056073225707,0.9978428250425921,0.9991183133496584,,0.9982164855984563,0.9984967802097131,0.9724824162668961,0.997490326712744,0.997490326712744,0.9975085182786352,0.9974718478958755,0.997490326712744,,0.9966264175274231,0.9989756607203931,0.9964201163564433,,0.9993248934000967,0.9771773812658313,0.9936163151770815,0.9771288561613956
FeatureNum:6.0,,0.9993389135394393,0.9942846945127473,,0.9988120842104599,0.999712389141618,,0.9979809844817917,0.9873628461903967,0.9999167459223136,0.9999167459223136,0.9999167171142143,0.9999165111315887,0.9999167459223136,0.9966264175274231,,,0.9869675032218576,0.9982598128347604,0.9977073781007464,0.9908667606539018,0.9989052286501077,0.9583386739984993
FeatureNum:5.0,,0.9887657958216357,0.975407736234443,,0.9962319304522566,0.9945921034556577,,0.9952943949829588,0.9634126252485271,0.9934980146354904,0.9934980146354904,0.9935271208309269,0.9934686076900046,0.9934980146354904,0.9989756607203931,,,0.9978557586030969,0.9832960394525376,0.9978958368527399,0.968323967976228,0.9888651671886052,0.9823622485955377
Model:random_forest,0.967463353325373,0.9821087181871831,,0.9899870756885132,0.9933295615507526,0.9905366956885451,0.9905366956885451,0.9939934787275184,,0.988791025716974,0.988791025716974,0.98881576848926,0.9887659892531137,0.988791025716974,0.9964201163564433,0.9869675032218576,0.9978557586030969,,0.9764242666270346,,,0.9808498984367661,
FS_Method:infgain,0.9990225514442828,0.9992636863802861,0.9979357548253222,0.9967584601000699,0.9943944350182657,,0.9966756676468573,0.9935501260617876,0.9935172817621705,0.9975795584696305,0.9975795584696305,0.9975612701684317,0.9975976081322815,0.9975795584696305,,0.9982598128347604,0.9832960394525376,0.9764242666270346,,0.9925663612934915,0.9963881875155568,0.9986167670355461,0.9411704855545532
Model:GradientBoosting,0.9869902136301307,0.9962246283959499,,0.9980383607004168,0.9986734544035413,0.9986248496415501,0.9986248496415501,0.9973780065165339,,0.9983497747468358,0.9983497747468358,0.9983621388243704,0.9983371309610894,0.9983497747468358,0.9993248934000967,0.9977073781007464,0.9978958368527399,,0.9925663612934915,,,0.9964026225991771,
Model:XGBmodel,0.9976547914107823,0.9940837969926658,,0.9875352741790048,0.9832272779138026,0.9873608708138304,0.9873608708138304,0.9808747191466002,,0.9892765824325023,0.9892765824325023,0.9892542623210228,0.9892986714699094,0.9892765824325023,0.9771773812658313,0.9908667606539018,0.968323967976228,,0.9963881875155568,,,0.9946022810118399,
Scaler:standard,0.9962151126579116,0.9996772984789299,0.9937028926001972,0.9975082503762654,0.9959115308593064,0.9978227390718806,0.9978227390718806,,0.9921665562384395,0.9985683098145088,0.9985683098145088,0.9985630522641723,0.9985733110926507,0.9985683098145088,0.9936163151770815,0.9989052286501077,0.9888651671886052,0.9808498984367661,0.9986167670355461,0.9964026225991771,0.9946022810118399,,0.9471271758831092
Model:DTmodel,0.9277655062668033,0.9493973641007147,,0.9644588592124014,0.9709397085261017,0.9648798343692971,0.9648798343692971,0.9732327459062079,,0.9614280749252461,0.9614280749252461,0.9614787889129685,0.9613770398349082,0.9614280749252461,0.9771288561613956,0.9583386739984993,0.9823622485955377,,0.9411704855545532,,,0.9471271758831092,
