Part_Label,Model:LogisticRegression,Split_Ratio:0.1,Model:XGBmodel,Split_Ratio:0.15,Model:sklearn_SVM,FS_Method:noSelect,FeatureNum:5.0,FeatureNum:8.0,Model:random_forest,Scaler:standard,FeatureNum:4.0,Split_Ratio:0.2,Split_Ratio:0.25,AugName:noAug,FS_Method:infgain,FeatureNum:6.0,FeatureNum:7.0,ImblName:noImbl,Norm_Order:first,Norm_Order:last,Prob_Threshold:0.5,FS_Method:biMaxInfgain,Model:GradientBoosting,Scaler:minmax,Split_Ratio:0.3,Model:DTmodel
Split_Ratio:0.2,0.9936314561671739,,0.9857840394707273,,0.973941054020606,0.9976963555649925,0.993057508683709,0.9976963555649925,0.9896454021076471,0.9888131493691487,0.9987819150471644,,,0.9962058082860615,0.9997097474352944,0.9956654425973535,0.9948050762112919,0.9962058082860615,0.9961552144156647,0.9962560027057287,0.9962058082860615,0.9871949563396907,0.9767058202751313,0.9992086226226147,,0.9129023150268618
Split_Ratio:0.25,0.9894617337689185,,0.9903466207750131,,0.9659612538404012,0.998848833771504,0.9964462627650876,0.998848833771504,0.9943320159584245,0.9923724087738998,0.9993061621532991,,,0.9982157136261459,0.9992929946824255,0.9980476966328345,0.9970903369843221,0.9982157136261459,0.9981926916607593,0.9982383464041389,0.9982157136261459,0.992012906621569,0.983137632712359,0.9998618559109911,,0.9240324551049148
AugName:noAug,0.9805631601101394,0.9856136265621303,0.9965819510582653,0.9989778622570836,0.9509900213864191,0.9997982316035172,0.9995052113396602,0.9997982316035172,0.9982879065132039,0.9978830002048164,0.9992547557417503,0.9962058082860615,0.9982157136261459,,0.9979725319652067,0.9999674306523593,0.9998557215289016,1.0,0.9999998095567055,0.999999809709025,1.0,0.9973269230549895,0.9916281615603474,0.9983937737965617,0.9981232586173159,0.944192105077073
FS_Method:infgain,0.9907643107006624,0.9742657878605502,0.9894011749696836,0.996022478380956,0.9684273249289204,,0.9955207972463367,0.9989889700222968,0.9926885693843374,0.9919798388518445,0.9996772027117269,0.9997097474352944,0.9992929946824255,0.9979725319652067,,0.997583722243511,0.9968963347098405,0.9979725319652083,0.9979348762079512,0.9980097927743037,0.9979725319652083,,0.9815236302109037,0.9997496545776003,0.9949766696059278,0.922155211777272
FeatureNum:6.0,0.9795301929446748,0.9860308350490087,0.996919766028326,0.9988111039685178,0.9494097906684182,0.999624315234641,,,0.9986342531891081,0.9980815432470166,,0.9956654425973535,0.9980476966328345,0.9999674306523593,0.997583722243511,,,0.999967430652361,0.999970891401656,0.9999635906416267,0.999967430652361,0.9977121321952063,0.9923169201426341,0.9981599807146438,0.9985011655766339,0.9456839260498999
FeatureNum:7.0,0.9773915711321284,0.9883043520046704,0.9977616728589578,0.9994116185084357,0.9460333567287742,0.9994158702546591,,,0.9988406373215203,0.9988225461580778,,0.9948050762112919,0.9970903369843221,0.9998557215289016,0.9968963347098405,,,0.9998557215289047,0.9998631179971329,0.9998479474159991,0.9998557215289047,0.9982422627725696,0.9934045644434607,0.9973058075227649,0.9977337967305472,0.9492830705165474
ImblName:noImbl,0.9805631601101394,0.9856136265621303,0.9965819510582653,0.9989778622570836,0.9509900213864191,0.9997982316035172,0.9995052113396602,0.9997982316035172,0.9982879065132039,0.9978830002048164,0.9992547557417503,0.9962058082860615,0.9982157136261459,1.0,0.9979725319652083,0.999967430652361,0.9998557215289047,,0.9999998095567055,0.999999809709025,1.0,0.9973269230549895,0.9916281615603474,0.9983937737965617,0.9981232586173159,0.944192105077073
Norm_Order:first,0.9804581316342805,0.9856866140554179,0.9966274461430122,0.9989802915755793,0.9508208133809436,0.9997867048191789,0.999524304435266,0.9997867048191789,0.9983235538790773,0.9979153665350375,0.9992315026739205,0.9961552144156647,0.9981926916607593,0.9999998095567055,0.9979348762079512,0.999970891401656,0.9998631179971329,0.9999998095567055,,,0.9999998095567059,0.9973697542366576,0.9916990236610616,0.9983652218171387,0.9981408938441598,0.9443610754983643
Norm_Order:last,0.9806677733165976,0.9855402930811354,0.9965360948140061,0.9989750536412758,0.9511587997087273,0.9998093731959936,0.9994857454113081,0.9998093731959936,0.9982518933994659,0.9978502669684874,0.9992776191342279,0.9962560027057287,0.9982383464041389,0.999999809709025,0.9980097927743037,0.9999635906416267,0.9998479474159991,0.999999809709025,,,0.9999998097090255,0.9972837293647014,0.9915569503323152,0.9984219343088745,0.9981052505006489,0.9440228428275019
Prob_Threshold:0.5,0.9805631601101394,0.9856136265621303,0.9965819510582653,0.9989778622570836,0.9509900213864191,0.9997982316035172,0.9995052113396602,0.9997982316035172,0.9982879065132039,0.9978830002048164,0.9992547557417503,0.9962058082860615,0.9982157136261459,1.0,0.9979725319652083,0.999967430652361,0.9998557215289047,1.0,0.9999998095567059,0.9999998097090255,,0.9973269230549895,0.9916281615603474,0.9983937737965617,0.9981232586173159,0.944192105077073
FS_Method:biMaxInfgain,0.963952732671343,0.9936362725784647,0.9998220241184685,0.9973280196359319,0.9262402403933887,,0.9990840037080266,0.9957183942913109,0.9997347516119676,0.9996456759309821,0.9937766645188327,0.9871949563396907,0.992012906621569,0.9973269230549895,,0.9977121321952063,0.9982422627725696,0.9973269230549895,0.9973697542366576,0.9972837293647014,0.9973269230549895,,0.99827936323639,0.9918656652455942,0.9968146280913792,0.964734998373476
Model:GradientBoosting,,0.9971379764330589,,0.9928875228918008,,0.9889488685871549,0.9949343567059872,0.9889488685871549,,0.9975284399347767,0.9860629569557413,0.9767058202751313,0.983137632712359,0.9916281615603474,0.9815236302109037,0.9923169201426341,0.9934045644434607,0.9916281615603474,0.9916990236610616,0.9915569503323152,0.9916281615603474,0.99827936323639,,0.9830664816380728,0.9915645710539913,
Scaler:minmax,0.9898020406515878,0.9745907812427017,0.9903661498899032,0.9957546944378916,0.9665812250348134,0.9991289180497843,0.9963853362639287,0.9991289180497843,0.9940130978229502,,0.9996841610580475,0.9992086226226147,0.9998618559109911,0.9983937737965617,0.9997496545776003,0.9981599807146438,0.9973058075227649,0.9983937737965617,0.9983652218171387,0.9984219343088745,0.9983937737965617,0.9918656652455942,0.9830664816380728,,0.9967252106646621,0.9242960844278502
Split_Ratio:0.3,0.9769700316370667,,0.9952133135003235,,0.9464068523372194,0.9973075536867446,0.9984981623009669,0.9973075536867446,0.9982833211987171,0.9957747257414259,0.9967051709332041,,,0.9981232586173159,0.9949766696059278,0.9985011655766339,0.9977337967305472,0.9981232586173159,0.9981408938441598,0.9981052505006489,0.9981232586173159,0.9968146280913792,0.9915645710539913,0.9967252106646621,,0.9437673027480376
Model:DTmodel,,0.9841764629394345,,0.951166369757539,,0.9380680622012827,0.9528494491804457,0.9380680622012827,,0.9632908815994812,0.9315031248937081,0.9129023150268618,0.9240324551049148,0.944192105077073,0.922155211777272,0.9456839260498999,0.9492830705165474,0.944192105077073,0.9443610754983643,0.9440228428275019,0.944192105077073,0.964734998373476,,0.9242960844278502,0.9437673027480376,
