Part_Label,FeatureNum:4.0,FeatureNum:7.0,Model:GradientBoosting,FS_Method:biMaxInfgain,FeatureNum:6.0,Scaler:standard,AugName:noAug,FS_Method:infgain,ImblName:noImbl,Model:random_forest,Norm_Order:first,Norm_Order:last,Prob_Threshold:0.5,Scaler:minmax,Split_Ratio:0.2,FeatureNum:5.0,FS_Method:noSelect,FeatureNum:8.0,Model:LogisticRegression,Model:XGBmodel,Model:sklearn_SVM,Model:DTmodel
Norm_Order:first,0.9997930486857849,0.9998086838488227,0.9790812517806888,0.9947031704684259,0.9997251364690101,0.9913762868713777,0.9999994859207885,0.9971271357335149,0.9999994859207885,0.9976971720359953,,,0.9999994859207909,0.994699142605709,0.9999994859207909,0.9992909707747097,0.9985703096627926,0.9985703096627926,0.9757962763345605,0.9969759213441058,0.9392996774201863,0.8815134125386812
Norm_Order:last,0.9997599854542575,0.9998116969905972,0.9794618064537268,0.9948890603077568,0.999766575778037,0.99160502055143,0.9999994864034443,0.9969886013847219,0.9999994864034443,0.9978080736788035,,,0.9999994864034462,0.99451692634712,0.9999994864034462,0.9993315264753039,0.9984688937169194,0.9984688937169194,0.9753861429683096,0.9970916997831666,0.9386768476356578,0.8823707583774657
Prob_Threshold:0.5,0.9997770269111804,0.9998107045140557,0.9792720769867982,0.9947966483783619,0.999746374696595,0.9914911900336839,1.0,0.9970583646195105,1.0,0.9977531485621459,0.9999994859207909,0.9999994864034462,,0.9946085241491034,1.0,0.9993117668710099,0.9985201028595729,0.9985201028595729,0.9755916627918175,0.9970343364716332,0.9389886718867058,0.8819426392982083
Scaler:minmax,0.9963625696284462,0.9939982749615569,0.9533118775589048,0.9791349045244232,0.992613380623614,,0.9946085241491034,0.9994906751572614,0.9946085241491034,0.9870633118225591,0.994699142605709,0.99451692634712,0.9946085241491034,,0.9946085241491046,0.991507364665806,0.9981667970133556,0.9981667970133556,0.9929077658691889,0.9845917195792848,0.9689540509029744,0.8284308164336939
Split_Ratio:0.2,0.9997770269111804,0.9998107045140557,0.9792720769867982,0.9947966483783619,0.999746374696595,0.9914911900336839,1.0,0.9970583646195105,1.0,0.9977531485621459,0.9999994859207909,0.9999994864034462,1.0,0.9946085241491046,,0.9993117668710099,0.9985201028595729,0.9985201028595729,0.9755916627918175,0.9970343364716332,0.9389886718867058,0.8819426392982083
FeatureNum:5.0,,,0.9837877719089808,0.9969923020646889,,0.9938423712812182,0.9993117668710099,0.9942463218889063,0.9993117668710099,0.9993463308260213,0.9992909707747097,0.9993315264753039,0.9993117668710099,0.991507364665806,0.9993117668710099,,0.996169830577041,,0.9701186285044499,0.998963265626145,0.9288077269073248,0.8919064740252469
FS_Method:noSelect,0.999384915980053,0.9985460385646419,0.9673143025362424,,0.9970899536861596,0.983709581880246,0.9985201028595729,,0.9985201028595729,0.9927534437864389,0.9985703096627926,0.9984688937169194,0.9985201028595729,0.9981667970133556,0.9985201028595729,0.996169830577041,,1.0,0.9849755249525215,0.9916524121386258,0.9555306581771476,0.8575796270416577
FeatureNum:8.0,,,0.9673143025362424,0.987958033661098,,0.983709581880246,0.9985201028595729,0.999575420817958,0.9985201028595729,0.9927534437864389,0.9985703096627926,0.9984688937169194,0.9985201028595729,0.9981667970133556,0.9985201028595729,,1.0,,0.9849755249525215,0.9916524121386258,0.9555306581771476,0.8575796270416577
Model:LogisticRegression,0.9794285685759536,0.9744645932528083,,0.9487672683478787,0.9714481299165364,0.9389513385483012,0.9755916627918175,0.9891643144023575,0.9755916627918175,,0.9757962763345605,0.9753861429683096,0.9755916627918175,0.9929077658691889,0.9755916627918175,0.9701186285044499,0.9849755249525215,0.9849755249525215,,,,
Model:XGBmodel,0.9951889242718288,0.9964786644863282,,0.999272328075662,0.9982104749529118,0.9974219948933577,0.9970343364716332,0.9885344447343104,0.9970343364716332,,0.9969759213441058,0.9970916997831666,0.9970343364716332,0.9845917195792848,0.9970343364716332,0.998963265626145,0.9916524121386258,0.9916524121386258,,,,
Model:sklearn_SVM,0.945730723346359,0.9386329217121617,,0.89908549764018,0.9321939179780989,0.8870291227122229,0.9389886718867058,0.962588575077682,0.9389886718867058,,0.9392996774201863,0.9386768476356578,0.9389886718867058,0.9689540509029744,0.9389886718867058,0.9288077269073248,0.9555306581771476,0.9555306581771476,,,,
Model:DTmodel,0.8729182553242874,0.883803627583833,,0.9241362226269629,0.8898637475215061,0.9356419026883214,0.8819426392982083,0.8439256803285858,0.8819426392982083,,0.8815134125386812,0.8823707583774657,0.8819426392982083,0.8284308164336939,0.8819426392982083,0.8919064740252469,0.8575796270416577,0.8575796270416577,,,,
